,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,,0.004784479984860046,,,,,,,0.004158654794730139,,,,,,,,,,,,,,,,0.00413143806842306,,,,,,,,,,,,,,,,,,,,,,,,,
baby_singing,0.004784479984860046,,,,,,,,0.0043046920332302655,,,,,,,,,,,,,,,,0.004043093825102365,,,,,,,,,,,,,,,,,,,,,,,,,
beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006183431092972548,,0.007606633672364372,,0.0056556856307502556,,,0.0053324714117403225,,,,
boiling_water_with_kettle,,,,,,,,,,0.008629126516986425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird_singing,,,,,,,,0.008425185193681472,,,0.008571157784842645,0.00836121208160322,,,0.007667136416700402,,,,,,,,0.006364622941479431,,,,,0.0062981767624007015,,,,,,,,0.005450912505974802,,,,0.007919825091060855,,,,,,,,,,
boxing,,,,,,,,,,,,,,0.00825774833682674,,,,0.008719018681945492,,,,,,,,,,,,0.009162218285323088,,0.00888558443604434,0.009851215231079577,0.008286028437490708,,,,,,,,,,,,,,,,
bubble_wrap_popping,,,,,,,,,,,,,0.007731321450587421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00812858982839086,,,,,,,,
cat_meowing,,,,,0.008425185193681472,,,,,,0.00815615798726264,0.006255298515743087,,,0.005223587969367936,,,,,,,,0.007413430085831381,,,,,0.00816720769963048,,,,,,,,0.0075621088135600315,,,,0.005262886603209238,,,,,,,,,,
child_crying,0.004158654794730139,0.0043046920332302655,,,,,,,,,,,,,,,,,,,,,,,0.004122362809925621,,,,,,,,,,,,,,,,,,,,,,,,,
chainsaw_cutting,,,,0.008629126516986425,,,,,,,,,,,,,,,0.00947899535205663,,,,,0.008649651636850185,,,,,,,,,,,,,,,,,,,,,0.009754576593643626,,,,,
cow_moo,,,,,0.008571157784842645,,,0.00815615798726264,,,,0.00856755941299888,,,0.005449385020188407,,,,,,,,0.00967184715154892,,,,,0.006587164326405526,,,,,,,,0.007748137926790218,,,,0.005095727129161579,,,,,,,,,,
dolphin_call,,,,,0.00836121208160322,,,0.006255298515743087,,,0.00856755941299888,,,,0.00724027278741095,,,,,,,,0.009388577163249265,,,,,0.009784946038089012,,,,,,,,0.006080297187506364,,,,0.007470972938660509,,,,,,,,,,
