,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,0.0,0.004042221450446223,,,,,,,0.0035525333816241213,,,,,,,,,,,,,,,,0.0030704883109687196,,,,,,,,,,,,,,,,,,,,,,,,,
baby_singing,0.004042221450446223,0.0,,,,,,,0.003584296618058433,,,,,,,,,,,,,,,,0.0038155810494464467,,,,,,,,,,,,,,,,,,,,,,,,,
beach,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiling_water_with_kettle,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird_singing,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024011509912376574,,,,,,,,,,
boxing,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble_wrap_popping,,,,,,,0.0,,,,,,,,,,0.0026801691145811523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat_meowing,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.006564017100309347,,,,,,,,,,,,,,,,,,,,,,
child_crying,0.0035525333816241213,0.003584296618058433,,,,,,,0.0,,,,,,,,,,,,,,,,0.002644279339074639,,,,,,,,,,,,,,,,,,,,,,,,,
chainsaw_cutting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cow_moo,,,,,,,,,,,0.0,,,,,,,,,,,,0.0034075115368942636,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin_call,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot_matrix_printer,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drinking_sounds,,,,,,,,,,,,,,0.0,,,,0.0024207014147937366,,,,,,,,,,,,,,,0.00578605784024893,,,,,,,,,,,,,,,,,
donkey_braying,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
