,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,0.0,0.006117022015291409,,,,,,,,,,,,,,,,,,,,,,,0.0077633360838615575,,,,,,,,,,,,,,,,,,,,,,,,,
baby_singing,0.006117022015291409,0.0,,,,,,,,,,,,,,,,,,,,,,,0.009271178306048124,,,,,,,,,,,,,,,,,,,,,,,,,
beach,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiling_water_with_kettle,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird_singing,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006878688033443474,,,,,,,,,,
boxing,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.007831033911189023,,,,,,,,,,,,,,,,,,,
bubble_wrap_popping,,,,,,,0.0,,,,,,,,,,0.007607535958050453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat_meowing,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.00893860335646696,,,,,,,,0.004496160311445484,,,,,,,,,,,,,,
child_crying,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.006357950075611424,,,,,,,,,,,,,,,,,,,,,,,,,
chainsaw_cutting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cow_moo,,,,,,,,,,,0.0,,,,0.006344921821980134,,,,,,,,0.006171469491263789,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin_call,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot_matrix_printer,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005402158376027417,,,,,
drinking_sounds,,,,,,,,,,,,,,0.0,,,,0.005507597547527369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donkey_braying,,,,,,,,,,,0.006344921821980134,,,,0.0,,,,,,,,0.009193840128583606,,,,,,,,,,,,,,,,,,,,,,,,,,,
drum_roll,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.00531591861427294,,,,,,,,,,,,,,,
finger_snapping,,,,,,,0.007607535958050453,,,,,,,,,,0.0,,,,,,,0.007017606417576532,,,,,,,,,,,,,,,,,,,,,,,,,,
eating_sounds,,,,,,,,,,,,,,0.005507597547527369,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glass_breaking,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer_a_nail,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.00866112219212602,,,,,,,,
guitar_plucking,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helicopter_landing,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.00800973410470246,,,,,,,,,,,,,
horse_neighing,,,,,,,,,,,0.006171469491263789,,,,0.009193840128583606,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_open_a_door,,,,,,,,,,,,,,,,,0.007017606417576532,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kid_screaming,0.0077633360838615575,0.009271178306048124,,,,,,,0.006357950075611424,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
lighter,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.004873538033666508,,,
interview,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
lion_roar,,,,,,,,0.00893860335646696,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
mud_bubbling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
male_choir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
people_running,,,,,,0.007831033911189023,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
person_laughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
person_singing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
person_speaking_in_natural_scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
piano_player,,,,,,,,,,,,,,,,0.00531591861427294,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
pig_oink,,,,,,,,0.004496160311445484,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
plane_taking_off,,,,,,,,,,,,,,,,,,,,,,0.00800973410470246,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
police_car_with_siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.006902696553850747,,,,,,,
rooster_crowing,,,,,0.006878688033443474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
snowfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.009041138904088902,,,0.00916475278522437,,0.0077976772107948905,,
sweep,,,,,,,,,,,,,,,,,,,,0.00866112219212602,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006902696553850747,,0.009041138904088902,,0.0,,,,,,,
tearing_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
typing_keyboard,,,,,,,,,,,,,0.005402158376027417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00916475278522437,,,,,0.0,,,,
fireplace,,,,,,,,,,,,,,,,,,,,,,,,,,0.004873538033666508,,,,,,,,,,,,,,,,,,,,,0.0,,,
walking_on_gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077976772107948905,,,,,,,0.0,,
heartbeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
steam_train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
