,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,0.0,0.00599195514458459,,,,,,,0.007347936321858969,,,,,,,,,,,,,,,,0.006215512234164315,,,,,,,,,,,,,,,,,,,,,,,,,
baby_singing,0.00599195514458459,0.0,,,,,,,0.005826415186319173,,,,,,,,,,,,,,,,0.005155866298134338,,,,,,,,,,,,,,,,,,,,,,,,,
beach,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077402012191870794,,,,,,,,,,0.007716292566289693,,,,0.006696442635803352,,,,,,,
boiling_water_with_kettle,,,,0.0,,,,,,,,,0.008776857501909166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird_singing,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008797507507371285,,,,,,,,,,
boxing,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble_wrap_popping,,,,,,,0.0,,,,,,,,,0.009914752307263845,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007725624328101838,0.009513380105069833,,,,,
cat_meowing,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.006824795726061969,,,,,,,,0.0063822653551647,,,,,,,,,,,,,,
child_crying,0.007347936321858969,0.005826415186319173,,,,,,,0.0,,,,,,,,,,,,,,,,0.006451738893868136,,,,,,,,,,,,,,,,,,,,,,,,,
chainsaw_cutting,,,,,,,,,,0.0,,,,,,,,,,0.006742922393806048,,,,0.006092475783962845,,,,,,,,,,,,,,,,,,,,,,,,,,
cow_moo,,,,,,,,,,,0.0,0.009845429600427055,,,0.007513566933894182,,,,,,,,0.006171399607876689,,,,,,,,,,,,,0.008874647070597671,,,,0.009874644015683064,,,,,,,,,,
dolphin_call,,,,,,,,,,,0.009845429600427055,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot_matrix_printer,,,,0.008776857501909166,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drinking_sounds,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.008966108479419069,,,,,,,,,,,,,,,,,,
donkey_braying,,,,,,,,,,,0.007513566933894182,,,,0.0,,,,,,,,0.004270379414626438,,,,,,,,,,,,,,,,,0.006893103221664193,,,,,,,,,,
